run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
lc_vs_mixed/mixed2/none/delay_0/r1,out_core/lc_vs_mixed/mixed2/none/delay_0/r1,lc_vs_mixed,mixed2,none,0,1,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.42016194,20.000159,22.000175,23.000182,23.000182,19.00015,0.9708057722355244
lc_vs_mixed/mixed2/none/delay_0/r2,out_core/lc_vs_mixed/mixed2/none/delay_0/r2,lc_vs_mixed,mixed2,none,0,2,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.20016052,20.000159,21.000167,22.00017451,22.000175,19.000151,0.7284371529156988
lc_vs_mixed/mixed2/none/delay_0/r3,out_core/lc_vs_mixed/mixed2/none/delay_0/r3,lc_vs_mixed,mixed2,none,0,3,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.3401618,20.000159,21.00016755,22.000175,22.000175,19.00015,0.7174274165322391
lc_vs_mixed/mixed2/none/delay_0/r4,out_core/lc_vs_mixed/mixed2/none/delay_0/r4,lc_vs_mixed,mixed2,none,0,4,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.66016456,20.00016,22.000175,22.51017957,23.000183,19.000151,0.9816764403454075
lc_vs_mixed/mixed2/none/delay_0/r5,out_core/lc_vs_mixed/mixed2/none/delay_0/r5,lc_vs_mixed,mixed2,none,0,5,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.70016502,21.000167,22.55017985,23.000183,23.000183,19.000151,0.9529835705676015
lc_vs_mixed/mixed2/proper/delay_50/r1,out_core/lc_vs_mixed/mixed2/proper/delay_50/r1,lc_vs_mixed,mixed2,proper,50,1,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.72016436,20.000159,23.000182549999998,23.510187079999998,24.000191,19.000151,1.1612892209857213
lc_vs_mixed/mixed2/proper/delay_50/r2,out_core/lc_vs_mixed/mixed2/proper/delay_50/r2,lc_vs_mixed,mixed2,proper,50,2,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.38016186,20.000159,22.000175,22.000175,22.000175,19.00015,0.9874804397241892
lc_vs_mixed/mixed2/proper/delay_50/r3,out_core/lc_vs_mixed/mixed2/proper/delay_50/r3,lc_vs_mixed,mixed2,proper,50,3,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.68016454,21.000167,22.000175,22.51017957,23.000183,19.000151,1.0190112382793233
lc_vs_mixed/mixed2/proper/delay_50/r4,out_core/lc_vs_mixed/mixed2/proper/delay_50/r4,lc_vs_mixed,mixed2,proper,50,4,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.5401636,20.00016,22.000175,22.51017908,23.000183,19.000151,0.8134144411690055
lc_vs_mixed/mixed2/proper/delay_50/r5,out_core/lc_vs_mixed/mixed2/proper/delay_50/r5,lc_vs_mixed,mixed2,proper,50,5,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.86016632,21.000167,22.000176,23.000183,23.000183,19.000151,0.9478300080391024
