variant,bytes,iterations,key,calls,seconds,pct_time_sum,calls_per_iter,usec_per_iter,usec_per_call,calls_per_byte,usec_per_byte
kernels,5000000,100,lseek,4,3.5e-05,0.9199999999999999,0.04,0.35,8.75,8e-07,7e-06
kernels,5000000,100,madvise,2,2.3e-05,0.62,0.02,0.23,11.5,4e-07,4.6e-06
kernels,5000000,100,mmap,66,0.001626,41.800000000000004,0.66,16.26,24.636363636363637,1.32e-05,0.0003252
kernels,5000000,100,mprotect,28,0.0005,12.959999999999999,0.28,5.0,17.857142857142858,5.6e-06,0.0001
kernels,5000000,100,munmap,32,0.001779,32.760000000000005,0.32,17.79,55.59375,6.4e-06,0.0003558
kernels,5000000,100,newfstatat,8,7.500000000000001e-05,1.89,0.08,0.75,9.375,1.6e-06,1.5e-05
kernels,5000000,100,openat,36,0.000708,15.35,0.36,7.08,19.666666666666668,7.2e-06,0.0001416
kernels,5000000,100,pread64,4,8.3e-05,2.07,0.04,0.83,20.75,8e-07,1.66e-05
kernels,5000000,100,prlimit64,2,1.3e-05,0.2,0.02,0.13,6.5,4e-07,2.6e-06
kernels,5000000,100,read,24,0.000346,8.71,0.24,3.46,14.416666666666666,4.8e-06,6.92e-05
kernels,5000000,100,rseq,2,3.6e-05,1.06,0.02,0.36,18.0,4e-07,7.2e-06
kernels,5000000,100,rt_sigaction,2,1.4000000000000001e-05,0.37,0.02,0.14,7.000000000000001,4e-07,2.8000000000000003e-06
kernels,5000000,100,rt_sigprocmask,6,0.00014,3.9799999999999995,0.06,1.4,23.333333333333332,1.2e-06,2.8e-05
kernels,5000000,100,set_robust_list,2,4.8e-05,1.06,0.02,0.48,24.0,4e-07,9.6e-06
kernels,5000000,100,set_tid_address,2,0.000177,3.01,0.02,1.77,88.5,4e-07,3.54e-05
kernels,5000000,100,write,2,4.6e-05,1.47,0.02,0.46,23.0,4e-07,9.2e-06
kernels,5000000,5000,brk,17,0.00017299999999999998,0.5,0.0034,0.03459999999999999,10.176470588235292,3.4e-06,3.4599999999999994e-05
kernels,5000000,5000,clone3,2,7.4e-05,0.22000000000000003,0.0004,0.0148,37.0,4e-07,1.48e-05
kernels,5000000,5000,close,26,0.000406,1.1800000000000002,0.0052,0.0812,15.615384615384615,5.2e-06,8.12e-05
kernels,5000000,5000,execve,2,0.00036899999999999997,1.0699999999999998,0.0004,0.07379999999999999,184.49999999999997,4e-07,7.379999999999999e-05
kernels,5000000,5000,faccessat,2,3.7e-05,0.1,0.0004,0.0074,18.5,4e-07,7.4e-06
kernels,5000000,5000,fstat,28,0.00042,1.21,0.0056,0.084,15.0,5.6e-06,8.4e-05
kernels,5000000,5000,futex,19,0.062101,177.63,0.0038,12.4202,3268.4736842105262,3.8e-06,0.0124202
kernels,5000000,5000,getrandom,2,2.3e-05,0.07,0.0004,0.0046,11.5,4e-07,4.6e-06
kernels,5000000,5000,ioctl,2,1.5e-05,0.04,0.0004,0.003,7.5,4e-07,3e-06
kernels,5000000,5000,lseek,4,7.7e-05,0.22000000000000003,0.0008,0.0154,19.25,8e-07,1.54e-05
kernels,5000000,5000,madvise,2,2.7e-05,0.07,0.0004,0.0054,13.5,4e-07,5.4e-06
kernels,5000000,5000,mmap,68,0.0017430000000000002,5.09,0.0136,0.3486,25.632352941176475,1.36e-05,0.00034860000000000007
kernels,5000000,5000,mprotect,28,0.00064,1.8900000000000001,0.0056,0.128,22.857142857142858,5.6e-06,0.000128
