variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
baseline,read,5000,1000000,5000000,usec_per_iter,0.0114,0.0106,-0.045207928631672445
baseline,read,5000,5000000,10000000,usec_per_iter,0.0106,0.0116,0.13006054056437302
baseline,rseq,5000,1000000,5000000,usec_per_iter,0.006,0.003,-0.43067655807339283
baseline,rseq,5000,5000000,10000000,usec_per_iter,0.003,0.002,-0.5849625007211552
baseline,rt_sigaction,5000,1000000,5000000,usec_per_iter,0.0026,0.0024,-0.04973333053431084
baseline,rt_sigaction,5000,5000000,10000000,usec_per_iter,0.0024,0.002,-0.2630344058337929
baseline,rt_sigprocmask,5000,1000000,5000000,usec_per_iter,0.0096,0.009,-0.04010003780758683
baseline,rt_sigprocmask,5000,5000000,10000000,usec_per_iter,0.009,0.0402,2.159198594849254
baseline,set_robust_list,5000,1000000,5000000,usec_per_iter,0.0024,0.0036,0.25192963641259225
baseline,set_robust_list,5000,5000000,10000000,usec_per_iter,0.0036,0.002,-0.8479969065549493
baseline,set_tid_address,5000,1000000,5000000,usec_per_iter,0.0028,0.0034,0.12063591452702718
baseline,set_tid_address,5000,5000000,10000000,usec_per_iter,0.0034,0.0032,-0.08746284125033901
baseline,write,5000,1000000,5000000,usec_per_iter,0.003,0.0028,-0.04286768129042424
baseline,write,5000,5000000,10000000,usec_per_iter,0.0028,0.008,1.514573172829757
baseline,brk,100000,1000000,5000000,usec_per_iter,0.00074,0.00038,-0.41410664451777884
baseline,brk,100000,5000000,10000000,usec_per_iter,0.00038,0.00023,-0.7243655573865724
baseline,clone3,100000,1000000,5000000,usec_per_iter,0.00238,0.00055,-0.9102168385131699
baseline,clone3,100000,5000000,10000000,usec_per_iter,0.00055,0.00124,1.1728365968622154
baseline,close,100000,1000000,5000000,usec_per_iter,0.00178,0.0,nan
baseline,close,100000,5000000,10000000,usec_per_iter,0.0,0.00047,nan
baseline,execve,100000,1000000,5000000,usec_per_iter,0.00131,0.0,nan
baseline,execve,100000,5000000,10000000,usec_per_iter,0.0,0.0,nan
baseline,faccessat,100000,1000000,5000000,usec_per_iter,0.00018,0.0,nan
baseline,faccessat,100000,5000000,10000000,usec_per_iter,0.0,0.0,nan
baseline,fstat,100000,1000000,5000000,usec_per_iter,0.00203,0.00087,-0.5264557606361818
baseline,fstat,100000,5000000,10000000,usec_per_iter,0.00087,0.00114,0.3899465183160136
baseline,futex,100000,1000000,5000000,usec_per_iter,0.00129,0.00392,0.690582362228465
baseline,futex,100000,5000000,10000000,usec_per_iter,0.00392,0.00189,-1.052467419894136
baseline,getrandom,100000,1000000,5000000,usec_per_iter,0.00012,0.00012,0.0
baseline,getrandom,100000,5000000,10000000,usec_per_iter,0.00012,0.00013,0.1154772174199359
baseline,ioctl,100000,1000000,5000000,usec_per_iter,0.00065,0.00107,0.30969915690157307
baseline,ioctl,100000,5000000,10000000,usec_per_iter,0.00107,0.00041,-1.3839149817830636
baseline,madvise,100000,1000000,5000000,usec_per_iter,0.00019,0.00033,0.34301949645581253
baseline,madvise,100000,5000000,10000000,usec_per_iter,0.00033,0.00016,-1.044394119358452
baseline,mmap,100000,1000000,5000000,usec_per_iter,0.00571,0.00087,-1.1690299305525178
baseline,mmap,100000,5000000,10000000,usec_per_iter,0.00087,0.00428,2.298523490552418
baseline,mprotect,100000,1000000,5000000,usec_per_iter,0.00254,0.00128,-0.42580331791890647
baseline,mprotect,100000,5000000,10000000,usec_per_iter,0.00128,0.0023,0.8454900509443746
baseline,munmap,100000,1000000,5000000,usec_per_iter,0.00305,0.0046,0.25531566623422264
baseline,munmap,100000,5000000,10000000,usec_per_iter,0.0046,0.0134,1.542527234400759
baseline,openat,100000,1000000,5000000,usec_per_iter,0.00138,0.0,nan
baseline,openat,100000,5000000,10000000,usec_per_iter,0.0,0.00086,nan
baseline,pread64,100000,1000000,5000000,usec_per_iter,0.00038,0.0,nan
baseline,pread64,100000,5000000,10000000,usec_per_iter,0.0,0.00039,nan
baseline,prlimit64,100000,1000000,5000000,usec_per_iter,0.00017,0.0001,-0.3296978696491946
baseline,prlimit64,100000,5000000,10000000,usec_per_iter,0.0001,0.00018,0.8479969065549493
baseline,read,100000,1000000,5000000,usec_per_iter,0.00066,0.0,nan
baseline,read,100000,5000000,10000000,usec_per_iter,0.0,0.00038,nan
baseline,rseq,100000,1000000,5000000,usec_per_iter,0.00011,0.00012,0.05406320822779297
baseline,rseq,100000,5000000,10000000,usec_per_iter,0.00012,0.00014,0.22239242133644882
baseline,rt_sigaction,100000,1000000,5000000,usec_per_iter,0.0002,0.0002,0.0
baseline,rt_sigaction,100000,5000000,10000000,usec_per_iter,0.0002,0.00022,0.13750352374993605
baseline,rt_sigprocmask,100000,1000000,5000000,usec_per_iter,0.00125,0.00043,-0.6630349722499356
baseline,rt_sigprocmask,100000,5000000,10000000,usec_per_iter,0.00043,0.0012,1.4806258409064195
baseline,set_robust_list,100000,1000000,5000000,usec_per_iter,0.0001,0.00014,0.20906195512216688
baseline,set_robust_list,100000,5000000,10000000,usec_per_iter,0.00014,0.00021,0.5849625007211552
baseline,set_tid_address,100000,1000000,5000000,usec_per_iter,0.00015,0.0004,0.6094234797341934
baseline,set_tid_address,100000,5000000,10000000,usec_per_iter,0.0004,0.00012,-1.736965594166207
baseline,write,100000,1000000,5000000,usec_per_iter,0.00015,0.00016,0.04010003780758683
baseline,write,100000,5000000,10000000,usec_per_iter,0.00016,0.00014,-0.19264507794239602
kernels,brk,100,1000000,5000000,usec_per_iter,0.88,0.0,nan
kernels,brk,100,5000000,10000000,usec_per_iter,0.0,0.13,nan
kernels,clone3,100,1000000,5000000,usec_per_iter,0.51,0.23,-0.49478852874219337
kernels,clone3,100,5000000,10000000,usec_per_iter,0.23,0.48,1.0614005446641432
kernels,close,100,1000000,5000000,usec_per_iter,3.85,0.83,-0.9533780176524906
kernels,close,100,5000000,10000000,usec_per_iter,0.83,1.19,0.5197783319610187
kernels,execve,100,1000000,5000000,usec_per_iter,1.69,0.0,nan
kernels,execve,100,5000000,10000000,usec_per_iter,0.0,6.74,nan
kernels,faccessat,100,1000000,5000000,usec_per_iter,0.21,0.0,nan
kernels,faccessat,100,5000000,10000000,usec_per_iter,0.0,0.13,nan
kernels,fstat,100,1000000,5000000,usec_per_iter,4.2,0.7,-1.1132827525593778
kernels,fstat,100,5000000,10000000,usec_per_iter,0.7,1.55,1.1468413883292712
kernels,futex,100,1000000,5000000,usec_per_iter,3.94,6.12,0.27362433170743616
kernels,futex,100,5000000,10000000,usec_per_iter,6.12,13.75,1.1678280606067324
kernels,getrandom,100,1000000,5000000,usec_per_iter,0.15,0.0,nan
kernels,getrandom,100,5000000,10000000,usec_per_iter,0.0,0.13,nan
kernels,ioctl,100,1000000,5000000,usec_per_iter,0.0,0.02,nan
kernels,ioctl,100,5000000,10000000,usec_per_iter,0.02,1.15,5.845490050944375
kernels,lseek,100,1000000,5000000,usec_per_iter,0.0,0.13,nan
kernels,lseek,100,5000000,10000000,usec_per_iter,0.13,0.0,nan
kernels,madvise,100,1000000,5000000,usec_per_iter,0.18,0.09,-0.43067655807339295
kernels,madvise,100,5000000,10000000,usec_per_iter,0.09,0.19,1.0780025120012735
kernels,mmap,100,1000000,5000000,usec_per_iter,9.04,5.75,-0.2811287817313376
kernels,mmap,100,5000000,10000000,usec_per_iter,5.75,7.62,0.4062290416615842
kernels,mprotect,100,1000000,5000000,usec_per_iter,3.0,1.8,-0.3173938055140145
kernels,mprotect,100,5000000,10000000,usec_per_iter,1.8,4.59,1.350497247084133
kernels,munmap,100,1000000,5000000,usec_per_iter,3.51,1.96,-0.3620341982339167
kernels,munmap,100,5000000,10000000,usec_per_iter,1.96,10.1,2.3654297335239485
kernels,newfstatat,100,1000000,5000000,usec_per_iter,4.55,0.25,-1.8027545962892486
kernels,newfstatat,100,5000000,10000000,usec_per_iter,0.25,0.44,0.8155754288625724
kernels,openat,100,1000000,5000000,usec_per_iter,4.76,1.55,-0.6971332840142184
kernels,openat,100,5000000,10000000,usec_per_iter,1.55,2.56,0.7238755947257624
kernels,pread64,100,1000000,5000000,usec_per_iter,1.59,0.27,-1.1016686773174922
kernels,pread64,100,5000000,10000000,usec_per_iter,0.27,0.28,0.052467419894135635
kernels,prlimit64,100,1000000,5000000,usec_per_iter,0.35,0.0,nan
kernels,prlimit64,100,5000000,10000000,usec_per_iter,0.0,0.13,nan
kernels,read,100,1000000,5000000,usec_per_iter,3.64,1.16,-0.71053606212175
kernels,read,100,5000000,10000000,usec_per_iter,1.16,2.3,0.9875090558168028
kernels,rseq,100,1000000,5000000,usec_per_iter,0.15,0.17,0.07776823323660267
kernels,rseq,100,5000000,10000000,usec_per_iter,0.17,0.13,-0.3870231231092473
kernels,rt_sigaction,100,1000000,5000000,usec_per_iter,0.23,0.05,-0.9481920934663789
kernels,rt_sigaction,100,5000000,10000000,usec_per_iter,0.05,0.1,1.0
kernels,rt_sigprocmask,100,1000000,5000000,usec_per_iter,1.12,0.62,-0.36743541436502386
kernels,rt_sigprocmask,100,5000000,10000000,usec_per_iter,0.62,0.41,-0.5966443057687916
